id,title,link,imageLink,price,description,salePrice,brand,unit
4134361002,Yamaha EF2000iS generaattori,https://tarvike.com/product/yamaha-ef2000is-generaattori-103062,https://media.tarvike.com/product/images/103062/original/144291.jpg,1306.0,"Suurta tehoa pienessä paketissa. Saat sähköä, kun tarvitset sitä, olipa kyse vedenkeittimen tai sähkötyökalujen käytöstä. EF2000iS on yksi markkinoiden kevyimmistä generaattoreista. 21 kg:n paino tarkoittaa, että jaksat kantaa sitä yhdellä kädellä.",979.0,Yamaha,
17861781000,Milwaukee Teränpidin SHW 1/4 60mm CD,https://tarvike.com/product/milwaukee-teranpidin-shw-14-60mm-cd-169578,https://media.tarvike.com/product/images/169578/original/192073.png,6.6,Erikoissuunniteltu teräs sekä kuumuuskäsittely tuottavat maksimaalisen vahvuuden ja joustavuuden.,3.0,Milwaukee Tools,
18750970002,Milwaukee huopakynä,https://tarvike.com/product/milwaukee-huopakyna-109341,https://media.tarvike.com/product/images/109341/original/153041.jpg,1.85,"-Pysyy terävänä pidempään eikä leviä tai työnny sisään painettaessa-Kestävä akryylikärki on ihanteellinen karkeille pinnoille, kuten OSB-levylle ja betonille-Kynää voidaan käyttää vaikka sen korkki olisi ollut auki +72 tuntia-Sopii betonille, puulle, metallille, vanerille, OSB-levylle ja muoville-Voidaan käyttää pölyisille, märille, ruosteisille ja öljyisille pinnoille-Nopeasti kuivuva muste, mikä vähentää sen leviämistä PVC- ja metallipinnoilla-Kapea malli on kätevä ahtaissa tiloissa työskennellessä-Klipsi kynän kiinnittämiseen esim. kypärään, housuihin ja haalareihin-Korkki on helppo irrottaa myös yhdellä kädellä-Rullaamaton rakenne estää kynän pyörimisen",1.5,Milwaukee Tools,
18747847002,"Lisävalon tukirautapari litteä, 200mm",https://tarvike.com/product/lisavalon-tukirautapari-littea-200mm-106032,https://media.tarvike.com/product/images/106032/original/148720.jpg,13.0,Litteä200mmMustaRuostumatonta terästä,11.0,,
22298635001,Milwaukee Shockwave™ Impact Duty -ruuvauskärkisarjat,https://tarvike.com/product/milwaukee-shockwave-impact-duty-ruuvauskarkisarjat-175548,https://media.tarvike.com/product/images/175548/original/197904.webp,19.1,SHOCKWAVE™ IMPACT DUTY -ruuvauskärjet on suunniteltu käytettäväksi iskevissä ruuvinvääntimissä. Terät ovat ihanteellisia vaativiin iskutoimintosovelluksiin ja tarjoavat täyden ratkaisun kaikkiin kiinnitystarpeisiin.,9.9,Milwaukee Tools,
4134360002,Yamaha EF2200iS generaattori,https://tarvike.com/product/yamaha-ef2200is-generaattori-103059,https://media.tarvike.com/product/images/103059/original/144307.jpg,1508.0,"Täysin uusi Yamaha EF2200iS -generaattori tarjoaa suurta tehoa, hiljaisen käyntiäänen ja monipuolisia ominaisuuksia. Se tuottaa enintään 2,2 kVA:n sähkövirtaa missä tahansa, mikä tekee siitä ihanteellisen monenlaisiin käyttökohteisiin.",1131.0,Yamaha,
1772483000,Solero Polttimo 12V 18W WX3X16D KELT. LASIKANTA,https://tarvike.com/product/solero-polttimo-12v-18w-wx3x16d-kelt-lasikanta-129073,https://media.tarvike.com/product/images/129073/original/168944.jpg,1.0,,0.6,Solero,
1772526000,Kimpex Polttimo 12V 21/5W GE906,https://tarvike.com/product/kimpex-polttimo-12v-215w-ge906-130763,https://media.tarvike.com/product/images/130763/original/169886.jpg,3.0,,1.8,Kimpex,
18750925002,Milwaukee puukkosahanterä 300 mm,https://tarvike.com/product/milwaukee-puukkosahantera-300-mm-109325,https://media.tarvike.com/product/images/109325/original/152999.jpg,27.3,"Milwaukeen puukkosahaan tarkoitettu terä. Terässä aaltomainen 300mm terä, joka käy eristemateriaalien, uretaanivaahtojen ja muovin leikaamiseen.- terän pituus: 300 mm- käyttökohde: eristemateriaalit, uretaanivaahto, pahvi- materiaalityyppi: HCS- määrä pakkauksessa: 1 kpl",19.9,Milwaukee Tools,
18747869002,"Lisävaloteline, rek taakse, EU-kilpi",https://tarvike.com/product/lisavaloteline-rek-taakse-eu-kilpi-106017,https://media.tarvike.com/product/images/106017/original/148675.jpg,9.1,"Mitat: 430 mmRekisterikilven taakse, EU-kilpiTakuuaika (kk): 12",7.7,,
1772482000,Solero Polttimo 6V 5W BA15S,https://tarvike.com/product/solero-polttimo-6v-5w-ba15s-129072,https://media.tarvike.com/product/images/129072/original/168939.jpg,2.0,,1.2,Solero,
17369662001,Milwaukee laturi M12-18 FC,https://tarvike.com/product/milwaukee-laturi-m12-18-fc-105132,https://media.tarvike.com/product/images/105132/original/147918.jpg,155.0,"Milwaukee M12-18 FC Laturi lataa kaikki M18™, M14™ ja M12™ REDLITHIUM™ -akut peräkkäin, jolloin ensimmäiseen laturiin laitettu akku ladataan ensimmäiseksi, a näin lataussyklien hallintaan kuluu vähemmän aikaa.",116.0,Milwaukee Tools,
4581992000,"Milwaukee Ruuvauskärkisarjat, SHW CD SET (32PC)",https://tarvike.com/product/milwaukee-ruuvauskarkisarjat-shw-cd-set-32pc-109393,https://media.tarvike.com/product/images/109393/original/153160.jpg,40.2,SHOCKWAVE™ IMPACT DUTY -ruuvauskärjet on suunniteltu käytettäväksi iskevissä ruuvinvääntimissä. Terät ovat ihanteellisia vaativiin iskutoimintosovelluksiin ja tarjoavat täyden ratkaisun kaikkiin kiinnitystarpeisiin.,19.0,Milwaukee Tools,
4578792000,Johtosarja 1 Valo DTP-Pistoke 300W,https://tarvike.com/product/johtosarja-1-valo-dtp-pistoke-300w-106053,https://media.tarvike.com/product/images/106053/original/148761.jpg,50.0,"HD DTP -johtosarja yhdelle valolle. 12V rele, 320W max. DTP-pistoke. Täydellinen johtosarja akulta valoille. Johdot -40C - +150C.",42.5,,
4578790000,Lisävalon kytkentäsarja Deutsch 2- valolle max 500w,https://tarvike.com/product/lisavalon-kytkentasarja-deutsch-2-valolle-max-500w-106052,https://media.tarvike.com/product/images/106052/original/148757.jpg,50.0,Deutsch- kytkentäsarja kahdelle valolle.12VMax 500WJohdot -40C - +150C.,30.0,,
18750971002,"Milwaukee Huopakynä Hienokärki, punainen",https://tarvike.com/product/milwaukee-huopakyna-hienokarki-punainen-109342,https://media.tarvike.com/product/images/109342/original/153030.jpg,1.85,"Milwaukee Huopakynä joka sopii betonille, puulle, metallille, vanerille, OSB-levylle ja muoville. Nopeasti kuivuva muste, mikä vähentää sen leviämistä PVC- ja metallipinnoilla.Pysyy terävänä pidempään eikä leviä tai työnny sisään painettaessaKestävä akryylikärki on ihanteellinen karkeille pinnoille, kuten OSB-levylle ja betonilleKynää voidaan käyttää vaikka sen korkki olisi ollut auki +72 tuntiaVoidaan käyttää pölyisille, märille, ruosteisille ja öljyisille pinnoilleKapea malli on kätevä ahtaissa tiloissa työskennellessäKlipsi kynän kiinnittämiseen esim. kypärään, housuihin ja haalareihinKorkki on helppo irrottaa myös yhdellä kädelläRullaamaton rakenne estää kynän pyörimisenKärki: 1mm",1.5,Milwaukee Tools,
4578787000,"Lisävalon kytkentäsarja Deutsch, max 300W",https://tarvike.com/product/lisavalon-kytkentasarja-deutsch-max-300w-106051,https://media.tarvike.com/product/images/106051/original/148753.jpg,27.5,Deutsch- johtosarja yhdelle valolle.12V releMax 300WJohdot -40C - +150C.,23.3,,
