id,title,link,imageLink,price,description,salePrice,brand,unit
2399459000,Scott Hustle/Primal/Split Varalinssit,https://tarvike.com/product/scott-hustleprimalsplit-varalinssi-clear-afc-works-31392,https://media.tarvike.com/product/images/31392/original/171815.jpg,13.2,"Scott varalinssi Hustle, Primal ja Split malleihin",10.0,Scott,
18745432002,KTM Team T-paita,https://tarvike.com/product/team-tee-xxl-16689,https://media.tarvike.com/product/images/16689/original/16021.jpg,36.0,"Tyylikäs KTM Racing Team- t-paita. Materiaali 85% polyesteriä, 15% puuvillaa.",25.0,KTM,
16968936001,GRIP ZIP HOODIE,https://tarvike.com/product/grip-zip-hoodie-l-15667,https://media.tarvike.com/product/images/15667/original/16352.jpg,87.5,"Tyylikäs harmaa KTM miesten huppari, jossa selässä painettu 3D-logo. Materiaali 70% puuvillaa, 30 % polyesteriä.",61.0,KTM,
6716498002,Svala Merino extreme O-neck kerrastopaita,https://tarvike.com/product/svala-paita-merino-extreme-o-neck-musta-xl-19071,https://media.tarvike.com/product/images/19071/original/214323.png,102.0,"Svala kerrastopaita on tyköistuva pitkähihainen paita, joka soveltuu kerrospukeutumiseen niin työssä kuin vapaa-ajalla.",69.0,Svala,
2399445000,Scott Voltage MX Works clear thermal afc varalinssi,https://tarvike.com/product/scott-voltage-mx-works-clear-thermal-afc-varalinssi-133917,https://media.tarvike.com/product/images/133917/original/171815.jpg,28.4,,16.9,Scott,
5625001,KTM ADV S GORE-TEX® Housut,https://tarvike.com/product/adv-s-gore-tex-pants-l-37446,https://media.tarvike.com/product/images/37446/original/179505.webp,473.2,"KTM ADV S Gore‑Tex® -ajohousut tarjoavat huippuluokan touring-sääsuojauksen Gore‑Tex 3‑LTD-vuorella (28 000 mm vesipilari) yhdistetyllä hengittävällä mesh-vuorella ja kestäviksi suunnitellulla polyesteri–polyamidiseoksella, tehden niistä luotettavan valinnan kaikkiin olosuhteisiin.",331.0,KTM,
5733991002,KTM Terra Adventure V3 Takki,https://tarvike.com/product/terra-adventure-v3-jacket-blkgreen-l-38325,https://media.tarvike.com/product/images/38325/original/181630.png,514.3,Ensiluokkainen Adventuretakki kaikkiin sääolosuhteisiin.,411.0,KTM,
4539000,KTM ADV S Gore-Tex® Takki,https://tarvike.com/product/adv-s-gore-tex-jacket-xl-37423,https://media.tarvike.com/product/images/37423/original/179495.webp,565.8,"KTM ADV S Gore‑Tex -takki on ensiluokkainen touring‑ajotakki, joka tarjoaa täydellisen säänkestävyyden Gore‑Tex 3L‑LTD‑kalvon ja 28 000 mm vesipilarin ansiosta sekä erinomaisen ilmanvaihdon käsivarsissa, rinnassa ja selässä.",396.0,KTM,
19176798002,EVS polvituen suojat pari,https://tarvike.com/product/evs-polvituen-suojat-pari-70445,https://media.tarvike.com/product/images/70445/original/76192.jpg,20.3,"Neopreenisuoja, joka estää housujen rikkoontumista polvituen nivelosan ja pyörän kovien muoviosien hankauksessa.",11.9,EVS,
17723105001,KTM Two 4 Ride V3 Softshell-takki,https://tarvike.com/product/two-4-ride-v3-jacket-blkgrey-l-58797,https://media.tarvike.com/product/images/58797/original/207114.png,195.5,"Vettähylkivä softshell-ajotakki suojilla, takki on kokonaan verkkovuorattu. Korkea kaulus ja integroitu huppu. Vyötäröllä kiristysnyöri. Tarranauhakiinnitys hihansuiden leveyden säätöön sekä useita ulko- ja sisätaskuja. 100 % polyesteriä.",156.0,KTM,
